Job Number,Submit Time,Wait Time,Run Time,Number of Allocated Processors,Average CPU Time Used,Used Memory,Requested Number of Processors,Requested Time,Requested Memory,Status,User ID,Group ID,Executable Number,Queue Number,Partition Number,Preceding Job Number,Think Time from Preceding Job
75,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
76,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
77,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
78,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
79,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
80,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
81,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
82,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
83,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
84,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
85,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
86,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
87,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
88,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
89,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
90,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
91,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
92,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
93,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
94,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
95,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
96,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
97,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
98,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
99,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
100,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
101,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
102,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
103,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
104,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
105,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
106,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
107,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
108,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
109,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
110,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
111,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
112,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
113,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
114,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
115,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
116,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
117,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
118,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
119,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
120,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
121,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
122,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
123,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
124,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
125,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
126,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
127,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
128,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
129,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
130,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
131,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
132,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
133,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
134,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
135,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
136,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
137,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
138,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
139,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
140,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
141,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
142,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
143,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
144,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
145,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
146,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
147,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
148,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
149,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
150,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
151,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
152,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
153,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
154,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
155,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
156,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
157,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
158,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
159,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
160,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
161,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
162,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
163,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
164,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
165,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
166,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
167,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
168,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
169,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
170,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
171,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
172,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
173,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
174,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
175,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
176,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
177,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
178,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
179,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
180,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
181,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
182,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
183,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
184,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
185,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
186,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
187,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
188,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
